,lat,long,depth,mag,stations,mvalue,magpred
207,-21.96,180.54,603,5.2,66,191.695,1
208,-20.32,181.69,508,4.5,14,168.4675,0
209,-30.28,180.62,350,4.7,32,126.26,0
210,-20.2,182.3,533,4.2,11,174.825,0
211,-30.66,180.13,411,4.7,42,141.2925,0
212,-16.17,184.1,338,4.3,13,127.5575,0
213,-28.25,181.71,226,4.1,19,95.89,0
214,-20.47,185.68,93,5.4,85,65.9025,1
215,-23.55,180.27,535,4.3,22,174.005,0
216,-20.94,181.58,573,4.3,21,184.485,0
217,-26.67,182.4,186,4.2,17,86.4825,0
218,-18.13,181.52,618,4.6,41,196.4975,0
219,-20.21,183.83,242,4.4,29,102.505,0
220,-18.31,182.39,342,4.2,14,127.57,0
221,-16.52,185.7,90,4.7,30,65.97,0
222,-22.36,171.65,130,4.6,39,70.9725,0
223,-22.43,184.48,65,4.9,48,57.9875,0
224,-20.37,182.1,397,4.2,22,140.7325,0
225,-23.77,180.16,505,4.5,26,166.4725,0
226,-13.65,166.66,71,4.9,52,57.2275,0
227,-21.55,182.9,207,4.2,18,93.1375,0
228,-16.24,185.75,154,4.5,22,82.0025,0
229,-23.73,182.53,232,5,55,98.95,1
230,-22.34,171.52,106,5,43,65.045,1
231,-19.4,180.94,664,4.7,34,207.56,0
232,-24.64,180.81,397,4.3,24,139.3675,0
233,-16,182.82,431,4.4,16,150.555,0
234,-19.62,185.35,57,4.9,31,56.9075,0
235,-23.84,180.13,525,4.5,15,171.4475,0
236,-23.54,179.93,574,4,12,183.5975,0
237,-28.23,182.68,74,4.4,20,58.2125,0
238,-21.68,180.63,617,5,63,195.2375,1
239,-13.44,166.53,44,4.7,27,50.4475,0
240,-24.96,180.22,470,4.8,41,157.515,0
241,-20.08,182.74,298,4.5,33,116.29,0
242,-24.36,182.84,148,4.1,16,77.645,0
243,-14.7,166,48,5.3,16,51.15,1
244,-18.2,183.68,107,4.8,52,69.32,0
245,-16.65,185.51,218,5,52,97.965,1
246,-18.11,181.67,597,4.6,28,191.29,0
247,-17.95,181.65,619,4.3,26,196.75,0
248,-15.5,186.9,46,4.7,18,55.525,0
249,-23.36,180.01,553,5.3,61,178.7375,1
250,-19.15,169.5,150,4.2,12,76.1375,0
251,-10.97,166.26,180,4.7,26,84.9975,0
252,-14.85,167.24,97,4.5,26,63.4725,0
253,-17.8,181.38,587,5.1,47,188.92,1
254,-22.5,170.4,106,4.9,38,64.7,0
255,-29.1,182.1,179,4.4,19,84.1,0
256,-20.32,180.88,680,4.2,22,211.19,0
257,-16.09,184.89,304,4.6,34,119.35,0
258,-19.18,169.33,254,4.7,35,102.2125,0
259,-23.81,179.36,521,4.2,23,170.1875,0
260,-23.79,179.89,526,4.9,43,171.75,0
261,-19.02,184.23,270,5.1,72,110.0775,1
262,-20.9,181.51,548,4.7,32,178.3275,0
263,-19.06,169.01,158,4.4,10,78.0875,0
264,-17.88,181.47,562,4.4,27,182.4975,0
265,-19.41,183.05,300,4.2,16,116.96,0
266,-26.17,184.2,65,4.9,37,56.9825,0
267,-14.95,167.24,130,4.6,16,71.7225,0
268,-18.73,168.8,82,4.4,14,59.1175,0
269,-20.21,182.37,482,4.6,37,162.19,0
270,-21.29,180.85,607,4.5,23,192.765,0
271,-19.76,181.41,105,4.4,15,67.7625,0
272,-22.09,180.38,590,4.9,35,188.2975,0
273,-23.8,179.9,498,4.1,12,164.55,0
274,-20.16,181.99,504,4.2,11,167.5075,0
275,-22.13,180.38,577,5.7,104,185.2375,1
276,-17.44,181.4,529,4.6,25,174.39,0
277,-23.33,180.18,528,5,59,172.4625,1
278,-24.78,179.22,492,4.3,16,162.685,0
279,-22,180.52,561,4.5,19,181.005,0
280,-19.13,182.51,579,5.2,56,186.895,1
281,-30.72,180.1,413,4.4,22,141.695,0
282,-22.32,180.54,565,4.2,12,181.855,0
283,-16.45,177.77,138,4.6,17,75.98,0
284,-17.7,185,383,4,10,138.575,0
285,-17.95,184.68,260,4.4,21,107.7825,0
286,-24.4,179.85,522,4.7,29,170.5375,0
287,-19.3,180.6,671,4.2,16,209.125,0
288,-21.13,185.32,123,4.7,36,72.9725,0
289,-18.07,181.57,572,4.5,26,185,0
290,-20.6,182.28,529,5,50,173.92,1
291,-18.48,181.49,641,5,49,202.2525,1
292,-13.34,166.2,67,4.8,18,56.165,0
293,-20.92,181.5,546,4.6,31,177.795,0
294,-25.31,179.69,507,4.6,35,166.495,0
295,-15.24,186.21,158,5,57,83.4925,1
296,-16.4,185.86,148,5,47,80.615,1
297,-24.57,178.4,562,5.6,80,180.3575,1
298,-17.94,181.51,601,4,16,192.1425,0
299,-30.64,181.2,175,4,16,82.39,0
300,-18.64,169.32,260,4.6,23,103.82,0
301,-13.09,169.28,654,4.4,22,203.6475,0
302,-19.68,184.14,242,4.8,40,102.815,0
303,-16.44,185.74,126,4.7,30,75,0
304,-21.09,181.38,555,4.6,15,179.9725,0
305,-14.99,171.39,637,4.3,21,199.425,0
306,-23.3,179.7,500,4.7,29,165.275,0
307,-17.68,181.36,515,4.1,19,170.695,0
308,-22,180.53,583,4.9,20,186.6075,0
309,-21.38,181.39,501,4.6,36,166.4025,0
310,-32.62,181.5,55,4.8,26,52.17,0
311,-13.05,169.58,644,4.9,68,201.3575,0
312,-12.93,169.63,641,5.1,57,200.7,1
313,-18.6,181.91,442,5.4,82,152.6775,1
314,-21.34,181.41,464,4.5,21,157.1425,0
315,-21.48,183.78,200,4.9,54,91.8,0
316,-17.4,181.02,479,4.4,14,161.755,0
317,-17.32,181.03,497,4.1,13,166.2025,0
318,-18.77,169.24,218,5.3,53,93.4425,1
319,-26.16,179.5,492,4.5,25,162.46,0
320,-12.59,167.1,325,4.9,26,121.1025,0
321,-14.82,167.32,123,4.8,28,70.075,0
322,-21.79,183.48,210,5.2,69,94.2225,1
323,-19.83,182.04,575,4.4,23,185.4025,0
324,-29.5,182.31,129,4.4,14,71.5525,0
325,-12.49,166.36,74,4.9,55,58.1925,0
326,-26.1,182.3,49,4.4,11,52.4,0
327,-21.04,181.2,483,4.2,10,161.84,0
328,-10.78,165.77,93,4.6,20,63.1475,0
329,-20.76,185.77,118,4.6,15,71.9025,0
330,-11.41,166.24,83,5.3,55,60.7825,1
331,-19.1,183.87,61,5.3,42,57.7675,1
332,-23.91,180,534,4.5,11,173.6475,0
333,-27.33,182.6,42,4.4,11,50.4175,0
334,-12.25,166.6,219,5,28,94.5875,1
335,-23.49,179.07,544,5.1,58,176.17,1
336,-27.18,182.18,56,4.5,14,53.875,0
337,-25.8,182.1,68,4.5,26,57.2,0
338,-27.19,182.18,69,5.4,68,57.3475,1
339,-27.27,182.38,45,4.5,16,51.1525,0
340,-27.1,182.18,43,4.7,17,50.695,0
341,-27.22,182.28,65,4.2,14,56.065,0
342,-27.38,181.7,80,4.8,13,59.78,0
343,-27.27,182.5,51,4.5,13,52.6825,0
344,-27.54,182.5,68,4.3,12,56.815,0
345,-27.2,182.39,69,4.3,14,57.1225,0
346,-27.71,182.47,103,4.3,11,65.515,0
347,-27.6,182.4,61,4.6,11,55.1,0
348,-27.38,182.39,69,4.5,12,57.1275,0
349,-21.54,185.48,51,5,29,54.985,1
350,-27.21,182.43,55,4.6,10,53.705,0
351,-28.96,182.61,54,4.6,15,53.0625,0
352,-12.01,166.29,59,4.9,27,54.545,0
353,-17.46,181.32,573,4.1,17,185.24,0
354,-30.17,182.02,56,5.5,68,53.3375,1
355,-27.27,182.36,65,4.7,21,56.1975,0
356,-17.79,181.32,587,5,49,188.8825,1
357,-22.19,171.4,150,5.1,49,76.0775,1
358,-17.1,182.68,403,5.5,82,143.52,1
359,-27.18,182.53,60,4.6,21,54.9875,0
360,-11.64,166.47,130,4.7,19,72.3825,0
361,-17.98,181.58,590,4.2,14,189.45,0
362,-16.9,185.72,135,4,22,76.955,0
363,-21.98,179.6,583,5.4,67,186.505,1
364,-32.14,179.9,406,4.3,19,139.515,0
365,-18.8,169.21,221,4.4,16,93.9525,0
366,-26.78,183.61,40,4.6,22,50.3575,0
367,-20.43,182.37,502,5.1,48,167.26,1
368,-18.3,183.2,103,4.5,14,68.1,0
369,-15.83,182.51,423,4.2,21,148.47,0
370,-23.44,182.93,158,4.1,20,80.3975,0
371,-23.73,179.99,527,5.1,49,172.09,1
372,-19.89,184.08,219,5.4,105,97.1475,1
373,-17.59,181.09,536,5.1,61,176.15,1
374,-19.77,181.4,630,5.1,54,199.1825,1
375,-20.31,184.06,249,4.4,21,104.2875,0
376,-15.33,186.75,48,5.7,123,56.28,1
377,-18.2,181.6,553,4.4,14,180.2,0
378,-15.36,186.66,112,5.1,57,72.1,1
379,-15.29,186.42,153,4.6,31,82.1825,0
380,-15.36,186.71,130,5.5,95,76.7125,1
381,-16.24,167.95,188,5.1,68,86.2025,1
382,-13.47,167.14,226,4.4,26,96.0175,0
383,-25.5,182.82,124,5,25,71.58,1
384,-14.32,167.33,204,5,49,90.5025,1
385,-20.04,182.01,605,5.1,49,193.0175,1
386,-28.83,181.66,221,5.1,63,94.7325,1
387,-17.82,181.49,573,4.2,14,185.2175,0
388,-27.23,180.98,401,4.5,39,139.8125,0
389,-10.72,165.99,195,4,14,88.5675,0
390,-27,183.88,56,4.9,36,54.445,0
391,-20.36,186.16,102,4.3,21,68.025,0
392,-27.17,183.68,44,4.8,27,51.3275,0
393,-20.94,181.26,556,4.4,21,180.18,0
394,-17.46,181.9,417,4.2,14,146.41,0
395,-21.04,181.2,591,4.9,45,189.015,0
396,-23.7,179.6,646,4.2,21,201.525,0
397,-17.72,181.42,565,5.3,89,183.5,1
398,-15.87,188.13,52,5,30,57.315,0
399,-17.84,181.3,535,5.7,112,176.04,1
400,-13.45,170.3,641,5.3,93,200.7875,1
401,-30.8,182.16,41,4.7,24,49.265,0
402,-11.63,166.14,109,4.6,36,67.0275,0
403,-30.4,181.4,40,4.3,17,48.825,0
404,-26.18,178.59,548,5.4,65,176.4525,1
405,-15.7,184.5,118,4.4,30,72.8,0
406,-17.95,181.5,593,4.3,16,190.2125,0
407,-20.51,182.3,492,4.3,23,164.5225,0
408,-15.36,167.51,123,4.7,28,69.9625,0
409,-23.61,180.23,475,4.4,26,159.005,0
410,-33.2,181.6,153,4.2,21,76.4,0
411,-17.68,186.8,112,4.5,35,71.405,0
412,-22.24,184.56,99,4.8,57,66.53,0
413,-20.07,169.14,66,4.8,37,54.9675,0
414,-25.04,180.1,481,4.3,15,160.09,0
415,-21.5,185.2,139,4.4,15,76.775,0
416,-14.28,167.26,211,5.1,51,92.27,1
417,-14.43,167.26,151,4.4,17,77.0575,0
418,-32.7,181.7,211,4.4,40,91.1,0
419,-34.1,181.8,246,4.3,23,99.5,0
420,-19.7,186.2,47,4.8,19,54.575,0
421,-24.19,180.38,484,4.3,27,161.1225,0
422,-26.6,182.77,119,4.5,29,69.9175,0
423,-17.04,186.8,70,4.1,22,60.965,0
424,-22.1,179.71,579,5.1,58,185.4275,1
425,-32.6,180.9,57,4.7,44,52.5,0
426,-33,182.4,176,4.6,28,82.5,0
427,-20.58,181.24,602,4.7,44,191.84,0
428,-20.61,182.6,488,4.6,12,163.6475,0
429,-19.47,169.15,149,4.4,15,75.77,0
430,-17.47,180.96,546,4.2,23,178.4225,0
431,-18.4,183.4,343,4.1,10,128.025,0
432,-23.33,180.26,530,4.7,22,172.9075,0
433,-18.55,182.23,563,4,17,182.67,0
434,-26.16,178.47,537,4.8,33,173.5275,0
435,-21.8,183.2,325,4.4,19,122.7,0
436,-27.63,182.93,80,4.3,14,59.9,0
437,-18.89,169.48,259,4.4,21,103.4975,0
438,-20.3,182.3,476,4.5,10,160.625,0
439,-20.56,182.04,499,4.5,29,166.245,0
440,-16.1,185.32,257,4.7,30,107.73,0
441,-12.66,166.37,165,4.3,18,80.7525,0
442,-21.05,184.68,136,4.7,29,76.0825,0
443,-17.97,168.52,146,4.8,33,75.3375,0
444,-19.83,182.54,524,4.6,14,172.8275,0
445,-22.55,183.81,82,5.1,68,62.09,1
446,-22.28,183.52,90,4.7,19,63.985,0
447,-15.72,185.64,138,4.3,21,78.055,0
448,-20.85,181.59,499,5.1,91,166.21,1
449,-21.11,181.5,538,5.5,104,175.9725,1
450,-25.31,180.15,467,4.5,25,156.585,0
451,-26.46,182.5,184,4.3,11,86.085,0
452,-24.09,179.68,538,4.3,21,174.4725,0
453,-16.96,167.7,45,4.7,23,50.11,0
454,-23.19,182.8,237,4.3,18,100.2275,0
455,-20.81,184.7,162,4.3,20,82.5475,0
456,-15.03,167.32,136,4.6,20,73.2225,0
457,-18.06,181.59,604,4.5,23,193.0075,0
458,-19,185.6,107,4.5,15,69.525,0
459,-23.53,179.99,538,5.4,87,174.965,1
460,-18.18,180.63,639,4.6,39,201.5125,0
461,-15.66,186.8,45,4.4,11,55.135,0
462,-18,180.62,636,5,100,200.905,1
463,-18.08,180.7,628,5.2,72,198.955,1
464,-18.05,180.86,632,4.4,15,199.8025,0
465,-29.9,181.16,215,5.1,51,92.84,1
466,-20.9,181.9,556,4.4,17,180.35,0
467,-15.61,167.5,135,4.4,21,72.8225,0
468,-16.03,185.43,297,4.8,25,117.8,0
469,-17.68,181.11,568,4.4,22,183.9575,0
470,-31.94,180.57,168,4.7,39,80.3325,0
471,-19.14,184.36,269,4.7,31,109.73,0
472,-18,185.48,143,4.4,29,78.72,0
473,-16.95,185.94,95,4.3,12,67.0725,0
474,-10.79,166.06,142,5,40,75.5675,1
475,-20.83,185.9,104,4.5,19,68.3925,0
476,-32.9,181.6,169,4.6,27,80.575,0
477,-37.93,177.47,65,5.4,65,52.485,1
478,-29.09,183.2,54,4.6,23,53.1775,0
479,-23.56,180.23,474,4.5,13,158.7925,0
480,-19.6,185.2,125,4.4,13,73.75,0
481,-21.39,180.68,617,4.5,18,195.1975,0
482,-14.85,184.87,294,4.1,10,117.03,0
483,-22.7,183.3,180,4,13,86.15,0
484,-32.42,181.21,47,4.9,39,50.1725,0
485,-17.9,181.3,593,4.1,13,190.125,0
486,-23.58,183.4,94,5.2,79,64.755,1
487,-34.4,180.5,201,4.4,41,87.875,0
488,-17.61,181.2,537,4.1,11,176.1725,0
489,-21.07,181.13,594,4.9,43,189.74,0
490,-13.84,170.62,638,4.6,20,199.845,0
491,-30.24,181.63,80,4.5,17,58.9725,0
492,-18.49,169.04,211,4.8,30,91.5875,0
493,-23.45,180.23,520,4.2,19,170.245,0
494,-16.04,183.54,384,4.2,23,138.925,0
495,-17.14,185.31,223,4.1,15,98.8175,0
496,-22.54,172.91,54,5.5,71,52.4675,1
497,-15.9,185.3,57,4.4,19,57.7,0
498,-30.04,181.2,49,4.8,20,51.24,0
499,-24.03,180.22,508,4.2,23,167.0975,0
500,-18.89,184.46,242,4.8,36,103.0925,0
501,-16.51,187.1,62,4.9,46,59.3725,0
502,-20.1,186.3,63,4.6,19,58.45,0
503,-21.06,183.81,203,4.5,34,92.5625,0
504,-13.07,166.87,132,4.4,24,72.55,0
505,-23.46,180.09,543,4.6,28,176.0575,0
506,-19.41,182.3,589,4.2,19,189.0225,0
507,-11.81,165.98,51,4.7,28,52.4675,0
508,-11.76,165.96,45,4.4,51,50.9,0
509,-12.08,165.76,63,4.5,51,55.295,0
510,-25.59,180.02,485,4.9,48,161.0825,0
511,-26.54,183.63,66,4.7,34,56.9475,0
512,-20.9,184.28,58,5.5,92,56.72,1
513,-16.99,187,70,4.7,30,61.1775,0
514,-23.46,180.17,541,4.6,32,175.5775,0
515,-17.81,181.82,598,4.1,14,191.5275,0
516,-15.17,187.2,50,4.7,28,56.6825,0
517,-11.67,166.02,102,4.6,21,65.2375,0
518,-20.75,184.52,144,4.3,25,78.0175,0
519,-19.5,186.9,58,4.4,20,57.45,0
520,-26.18,179.79,460,4.7,44,154.5775,0
521,-20.66,185.77,69,4.3,25,59.6025,0
522,-19.22,182.54,570,4.1,22,184.355,0
523,-24.68,183.33,70,4.7,30,58.3375,0
524,-15.43,167.38,137,4.5,16,73.3625,0
525,-32.45,181.15,41,5.5,81,48.8,1
526,-21.31,180.84,586,4.5,17,187.5075,0
527,-15.44,167.18,140,4.6,44,74.085,0
528,-13.26,167.01,213,5.1,70,92.9625,1
529,-15.26,183.13,393,4.4,28,141.3175,0
530,-33.57,180.8,51,4.7,35,50.7325,0
531,-15.77,167.01,64,5.5,73,55.185,1
532,-15.79,166.83,45,4.6,39,50.16,0
533,-21,183.2,296,4,16,115.55,0
534,-16.28,166.94,50,4.6,24,51.315,0
535,-23.28,184.6,44,4.8,34,52.53,0
536,-16.1,167.25,68,4.7,36,55.9625,0
537,-17.7,181.31,549,4.7,33,179.3275,0
538,-15.96,166.69,150,4.2,20,76.2325,0
539,-15.95,167.34,47,5.4,87,50.9475,1
540,-17.56,181.59,543,4.6,34,177.9075,0
541,-15.9,167.42,40,5.5,86,49.255,1
542,-15.29,166.9,100,4.2,15,63.9525,0
543,-15.86,166.85,85,4.5,22,60.1225,0
544,-16.2,166.8,98,4.5,21,63.275,0
545,-15.71,166.91,58,4.8,20,53.5,0
546,-16.45,167.54,125,4.6,18,70.1725,0
547,-11.54,166.18,89,5.4,80,62.26,1
548,-19.61,181.91,590,4.6,34,189.225,0
549,-15.61,187.15,49,5,30,56.385,1
550,-21.16,181.41,543,4.3,17,176.8875,0
551,-20.65,182.22,506,4.3,24,167.9675,0
552,-20.33,168.71,40,4.8,38,48.295,0
553,-15.08,166.62,42,4.7,23,49.56,0
